Level,Name,Parts,Wraps,West,South,East,North,AreaKm2,Part1Area,Part1West,Part1South,Part1East,Part1North,Part2Area,Part2West,Part2South,Part2East,Part2North,Part3Area,Part3West,Part3South,Part3East,Part3North,Part4Area,Part4West,Part4South,Part4East,Part4North,Part5Area,Part5West,Part5South,Part5East,Part5North
Physical Range/mtn,Taihang Mts.,1,false,112.876,35.356,114.898,41.666,78802.4,78802.4,112.876,35.356,114.898,41.666,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Tannu-Ola Ra.,1,false,90.16,49.87,96.658,51.598,46031.4,46031.4,90.16,49.87,96.658,51.598,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Tarbagatay Ra.,1,false,79.02,46.347,85.777,48.839,66210.7,66210.7,79.02,46.347,85.777,48.839,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Tatra Mts.,1,false,17.999,48.82,23.057,50.068,35110.3,35110.3,17.999,48.82,23.057,50.068,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Taurus Mts.,1,false,31.271,36.102,35.056,37.822,40627.4,40627.4,31.271,36.102,35.056,37.822,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Transantarctic Mountains,2,true,155.582,-87.648,-46.763,-70.947,437027.0,228393.0,-180.0,-87.648,-46.763,-81.892,208635.0,155.582,-86.959,180.0,-70.947,,,,,,,,,,,,,,,
Physical Range/mtn,Transylvanian Alps,1,false,21.627,44.624,26.714,45.957,41309.2,41309.2,21.627,44.624,26.714,45.957,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Tumuc-Humac Mts.,1,false,-56.285,1.674,-52.62,3.269,39662.4,39662.4,-56.285,1.674,-52.62,3.269,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Tuwayq Mts.,1,false,45.441,20.356,47.055,25.311,47878.7,47878.7,45.441,20.356,47.055,25.311,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,URAL MOUNTAINS,1,false,56.22,51.566,66.91,68.358,210378.0,210378.0,56.22,51.566,66.91,68.358,,,,,,,,,,,,,,,,,,,,
